Date,BR,light,photoperiod,temp
Jan-87,0.004379328,47.38571429,0.355422454,2.967142857
Feb-87,0.004059087,66.94,0.417303241,3.746428571
Mar-87,0.004622018,72.27428571,0.495943287,4.54
Apr-87,0.004516529,92.65714286,0.578119213,8.928571429
May-87,0.004799118,154.845,0.648668981,9.453571429
Jun-87,0.004729113,90.53571429,0.685190972,11.12785714
Jul-87,0.004795683,93.90785714,0.667037037,14.81285714
Aug-87,0.004659142,106.0421429,0.60505787,14.33428571
Sep-87,0.004702978,139.8857143,0.526215278,11.42785714
Oct-87,0.004633017,107.9242857,0.4446875,7.461428571
Nov-87,0.004295069,46.73571429,0.372563657,6.33
Dec-87,0.004476825,28.34285714,0.335364583,5.600714286
Jan-88,0.004595912,52.10214286,0.355422454,3.885
Feb-88,0.004425536,65.54,0.417303241,4.210714286
Mar-88,0.004874557,73.86857143,0.495943287,6.260714286
Apr-88,0.004644076,134.6571429,0.578119213,8.262142857
May-88,0.004838093,156.1071429,0.648668981,10.10214286
Jun-88,0.004658581,169.3071429,0.685190972,13.77571429
Jul-88,0.004825985,102.8535714,0.667037037,13.38428571
Aug-88,0.004777073,104.1821429,0.60505787,13.50071429
Sep-88,0.004753663,92.18571429,0.526215278,12.00571429
Oct-88,0.004445886,91.98142857,0.4446875,9.302857143
Nov-88,0.004300937,56.95714286,0.372563657,5.229285714
Dec-88,0.00445246,27.94428571,0.335364583,7.388571429
Jan-89,0.004471862,40.16714286,0.355422454,6.439285714
Feb-89,0.004190381,70.28,0.417303241,4.987857143
Mar-89,0.004723358,103.9828571,0.495943287,5.884285714
Apr-89,0.004560691,140.0142857,0.578119213,5.652857143
May-89,0.004867105,215.0957143,0.648668981,11.04785714
Jun-89,0.004739152,178.0928571,0.685190972,13.01285714
Jul-89,0.00482107,224.3292857,0.667037037,16.925
Aug-89,0.004722936,113.9692857,0.60505787,14.32571429
Sep-89,0.004558793,86.07857143,0.526215278,12.12428571
Oct-89,0.004555664,52.39,0.4446875,10.48
Nov-89,0.004415027,40.8,0.372563657,5.918571429
Dec-89,0.004527023,31.66428571,0.335364583,3.791428571
Jan-90,0.004533361,50.59642857,0.355422454,5.237142857
Feb-90,0.004244626,53,0.417303241,5.013571429
Mar-90,0.004725825,71.78714286,0.495943287,7.696428571
Apr-90,0.004587674,157.9071429,0.578119213,7.204285714
May-90,0.004923102,173.9764286,0.648668981,11.6
Jun-90,0.004873682,136.0285714,0.685190972,11.98142857
Jul-90,0.005015388,193.7942857,0.667037037,15.16285714
Aug-90,0.004913285,82.85857143,0.60505787,15.41
Sep-90,0.004841748,107.9142857,0.526215278,11.26357143
Oct-90,0.004810435,58.32428571,0.4446875,10.26071429
Nov-90,0.004621274,67.82142857,0.372563657,6.045
Dec-90,0.00458121,44.68428571,0.335364583,3.850714286
Jan-91,0.00472019,61.60142857,0.355422454,2.897857143
Feb-91,0.004346927,59.56,0.417303241,2.614285714
Mar-91,0.004700198,83.27928571,0.495943287,6.98
Apr-91,0.004551182,135.9214286,0.578119213,7.391428571
May-91,0.004823442,153.605,0.648668981,10.60785714
Jun-91,0.004739701,116.7857143,0.685190972,11.05785714
Jul-91,0.005004128,130.8864286,0.667037037,15.78071429
Aug-91,0.004906739,142.2235714,0.60505787,15.27928571
Sep-91,0.004828328,157.35,0.526215278,13.11357143
Oct-91,0.00476568,71.05642857,0.4446875,8.714285714
Nov-91,0.004493314,51.55714286,0.372563657,5.973571429
Dec-91,0.00456945,25.44214286,0.335364583,5.579285714
Jan-92,0.00473651,24.04714286,0.355422454,4.790714286
Feb-92,0.004519072,51.30928571,0.417303241,5.218571429
Mar-92,0.004776894,62.775,0.495943287,6.920714286
Apr-92,0.0046828,76.88571429,0.578119213,7.472142857
May-92,0.004827353,177.8292857,0.648668981,11.38571429
Jun-92,0.004757555,159.2785714,0.685190972,14.50928571
Jul-92,0.004980901,132.4807143,0.667037037,14.58142857
Aug-92,0.004820344,143.0207143,0.60505787,13.13285714
Sep-92,0.004773389,93.87857143,0.526215278,10.75285714
Oct-92,0.004624984,75.86142857,0.4446875,7.074285714
Nov-92,0.004368655,45.68571429,0.372563657,6.510714286
Dec-92,0.004384389,29.07357143,0.335364583,3.763571429
Jan-93,0.004542955,33.81214286,0.355422454,5.197857143
Feb-93,0.004151169,22.7,0.417303241,6.292857143
Mar-93,0.004609496,75.59571429,0.495943287,6.007857143
Apr-93,0.004487723,110.0142857,0.578119213,8.462142857
May-93,0.00471914,143.7292857,0.648668981,9.951428571
Jun-93,0.004729138,94.62857143,0.685190972,13.35928571
Jul-93,0.00484292,100.7721429,0.667037037,13.53928571
Aug-93,0.004746463,126.9228571,0.60505787,12.98071429
Sep-93,0.004847149,95.50714286,0.526215278,11.37928571
Oct-93,0.004664008,99.37714286,0.4446875,6.945714286
Nov-93,0.00432335,55.30714286,0.372563657,5.258571429
Dec-93,0.004580651,32.61642857,0.335364583,4.5
Jan-94,0.004546815,48.47071429,0.355422454,4.382857143
Feb-94,0.004189157,34.46,0.417303241,3.213571429
Mar-94,0.004753443,93.70857143,0.495943287,6.463571429
